instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,season,weathersit,day_type,usage_category
14,2011-01-01,1,0,1,13,0,6,0,2,18.86,0.4545,72.0,19.999499999999998,47,47,94,spring,Mist Cloudy,Weekend,Medium Usage
15,2011-01-01,1,0,1,14,0,6,0,2,18.86,0.4545,72.0,19.0012,35,71,106,spring,Mist Cloudy,Weekend,Medium Usage
16,2011-01-01,1,0,1,15,0,6,0,2,18.04,0.4394,77.0,19.999499999999998,40,70,110,spring,Mist Cloudy,Weekend,Medium Usage
17,2011-01-01,1,0,1,16,0,6,0,2,17.22,0.4242,82.0,19.999499999999998,41,52,93,spring,Mist Cloudy,Weekend,Medium Usage
18,2011-01-01,1,0,1,17,0,6,0,2,18.04,0.4394,82.0,19.0012,15,52,67,spring,Mist Cloudy,Weekend,Medium Usage
19,2011-01-01,1,0,1,18,0,6,0,3,17.22,0.4242,88.0,16.997899999999998,9,26,35,spring,Light Rain/Snow,Weekend,Low Usage
20,2011-01-01,1,0,1,19,0,6,0,3,17.22,0.4242,88.0,16.997899999999998,6,31,37,spring,Light Rain/Snow,Weekend,Low Usage
21,2011-01-01,1,0,1,20,0,6,0,2,16.400000000000002,0.4091,87.0,16.997899999999998,11,25,36,spring,Mist Cloudy,Weekend,Low Usage
22,2011-01-01,1,0,1,21,0,6,0,2,16.400000000000002,0.4091,87.0,12.998000000000001,3,31,34,spring,Mist Cloudy,Weekend,Low Usage
23,2011-01-01,1,0,1,22,0,6,0,2,16.400000000000002,0.4091,94.0,15.001299999999999,11,17,28,spring,Mist Cloudy,Weekend,Low Usage
24,2011-01-01,1,0,1,23,0,6,0,2,18.86,0.4545,88.0,19.999499999999998,15,24,39,spring,Mist Cloudy,Weekend,Low Usage
25,2011-01-02,1,0,1,0,0,0,0,2,18.86,0.4545,88.0,19.999499999999998,4,13,17,spring,Mist Cloudy,Weekend,Low Usage
26,2011-01-02,1,0,1,1,0,0,0,2,18.04,0.4394,94.0,16.997899999999998,1,16,17,spring,Mist Cloudy,Weekend,Low Usage
27,2011-01-02,1,0,1,2,0,0,0,2,17.22,0.4242,100.0,19.0012,1,8,9,spring,Mist Cloudy,Weekend,Low Usage
28,2011-01-02,1,0,1,3,0,0,0,2,18.86,0.4545,94.0,12.998000000000001,2,4,6,spring,Mist Cloudy,Weekend,Low Usage
29,2011-01-02,1,0,1,4,0,0,0,2,18.86,0.4545,94.0,12.998000000000001,2,1,3,spring,Mist Cloudy,Weekend,Low Usage
30,2011-01-02,1,0,1,6,0,0,0,3,17.22,0.4242,77.0,19.999499999999998,0,2,2,spring,Light Rain/Snow,Weekend,Low Usage
31,2011-01-02,1,0,1,7,0,0,0,2,16.400000000000002,0.4091,76.0,12.998000000000001,0,1,1,spring,Mist Cloudy,Weekend,Low Usage
32,2011-01-02,1,0,1,8,0,0,0,3,16.400000000000002,0.4091,71.0,15.001299999999999,0,8,8,spring,Light Rain/Snow,Weekend,Low Usage
33,2011-01-02,1,0,1,9,0,0,0,2,15.58,0.3939,76.0,15.001299999999999,1,19,20,spring,Mist Cloudy,Weekend,Low Usage
34,2011-01-02,1,0,1,10,0,0,0,2,14.76,0.3485,81.0,15.001299999999999,7,46,53,spring,Mist Cloudy,Weekend,Medium Usage
35,2011-01-02,1,0,1,11,0,0,0,2,14.76,0.3333,71.0,16.997899999999998,16,54,70,spring,Mist Cloudy,Weekend,Medium Usage
36,2011-01-02,1,0,1,12,0,0,0,2,14.76,0.3333,66.0,19.999499999999998,20,73,93,spring,Mist Cloudy,Weekend,Medium Usage
37,2011-01-02,1,0,1,13,0,0,0,2,14.76,0.3485,66.0,8.9981,11,64,75,spring,Mist Cloudy,Weekend,Medium Usage
38,2011-01-02,1,0,1,14,0,0,0,3,14.76,0.3485,76.0,12.998000000000001,4,55,59,spring,Light Rain/Snow,Weekend,Medium Usage
39,2011-01-02,1,0,1,15,0,0,0,3,13.940000000000001,0.3333,81.0,11.0014,19,55,74,spring,Light Rain/Snow,Weekend,Medium Usage
40,2011-01-02,1,0,1,16,0,0,0,3,13.940000000000001,0.3333,71.0,11.0014,9,67,76,spring,Light Rain/Snow,Weekend,Medium Usage
41,2011-01-02,1,0,1,17,0,0,0,1,13.940000000000001,0.3333,56.99999999999999,12.998000000000001,7,58,65,spring,Clear Cloudy,Weekend,Medium Usage
42,2011-01-02,1,0,1,18,0,0,0,2,14.76,0.3333,46.0,22.0028,10,43,53,spring,Mist Cloudy,Weekend,Medium Usage
43,2011-01-02,1,0,1,19,0,0,0,1,13.120000000000001,0.2879,42.0,30.002599999999997,1,29,30,spring,Clear Cloudy,Weekend,Low Usage
44,2011-01-02,1,0,1,20,0,0,0,1,12.299999999999999,0.2727,39.0,23.9994,5,17,22,spring,Clear Cloudy,Weekend,Low Usage
45,2011-01-02,1,0,1,21,0,0,0,1,10.66,0.2273,44.0,22.0028,11,20,31,spring,Clear Cloudy,Weekend,Low Usage
46,2011-01-02,1,0,1,22,0,0,0,1,9.84,0.2121,44.0,19.999499999999998,0,9,9,spring,Clear Cloudy,Weekend,Low Usage
47,2011-01-02,1,0,1,23,0,0,0,1,9.02,0.2273,47.0,11.0014,0,8,8,spring,Clear Cloudy,Weekend,Low Usage
48,2011-01-03,1,0,1,0,0,1,1,1,9.02,0.197,44.0,23.9994,0,5,5,spring,Clear Cloudy,Workday,Low Usage
49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,0.1667,44.0,27.999299999999998,0,2,2,spring,Clear Cloudy,Workday,Low Usage
50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,0.1364,47.0,26.0027,0,1,1,spring,Clear Cloudy,Workday,Low Usage
51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,0.1364,47.0,19.0012,0,3,3,spring,Clear Cloudy,Workday,Low Usage
52,2011-01-03,1,0,1,6,0,1,1,1,5.74,0.1061,50.0,26.0027,0,30,30,spring,Clear Cloudy,Workday,Low Usage
53,2011-01-03,1,0,1,7,0,1,1,1,5.74,0.1364,50.0,12.998000000000001,1,63,64,spring,Clear Cloudy,Workday,Medium Usage
54,2011-01-03,1,0,1,8,0,1,1,1,5.74,0.1212,50.0,19.0012,1,153,154,spring,Clear Cloudy,Workday,Medium Usage
55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,0.1364,43.0,26.0027,7,81,88,spring,Clear Cloudy,Workday,Medium Usage
56,2011-01-03,1,0,1,10,0,1,1,1,7.38,0.1667,43.0,16.997899999999998,11,33,44,spring,Clear Cloudy,Workday,Medium Usage
57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,0.1818,40.0,22.0028,10,41,51,spring,Clear Cloudy,Workday,Medium Usage
58,2011-01-03,1,0,1,12,0,1,1,1,9.02,0.2121,35.0,19.999499999999998,13,48,61,spring,Clear Cloudy,Workday,Medium Usage
59,2011-01-03,1,0,1,13,0,1,1,1,9.84,0.2121,35.0,19.0012,8,53,61,spring,Clear Cloudy,Workday,Medium Usage
60,2011-01-03,1,0,1,14,0,1,1,1,10.66,0.2424,30.0,19.0012,11,66,77,spring,Clear Cloudy,Workday,Medium Usage
61,2011-01-03,1,0,1,15,0,1,1,1,10.66,0.2424,30.0,16.997899999999998,14,58,72,spring,Clear Cloudy,Workday,Medium Usage
62,2011-01-03,1,0,1,16,0,1,1,1,10.66,0.2424,30.0,16.997899999999998,9,67,76,spring,Clear Cloudy,Workday,Medium Usage
63,2011-01-03,1,0,1,17,0,1,1,1,9.84,0.2273,30.0,15.001299999999999,11,146,157,spring,Clear Cloudy,Workday,Medium Usage
64,2011-01-03,1,0,1,18,0,1,1,1,9.84,0.2576,32.0,7.0015,9,148,157,spring,Clear Cloudy,Workday,Medium Usage
65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,0.2576,47.0,0.0,8,102,110,spring,Clear Cloudy,Workday,Medium Usage
66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,0.2273,47.0,7.0015,3,49,52,spring,Clear Cloudy,Workday,Medium Usage
67,2011-01-03,1,0,1,21,0,1,1,1,7.38,0.197,64.0,8.9981,3,49,52,spring,Clear Cloudy,Workday,Medium Usage
68,2011-01-03,1,0,1,22,0,1,1,1,5.74,0.1515,69.0,8.9981,0,20,20,spring,Clear Cloudy,Workday,Low Usage
69,2011-01-03,1,0,1,23,0,1,1,1,7.38,0.2121,55.00000000000001,7.0015,1,11,12,spring,Clear Cloudy,Workday,Low Usage
70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,0.1818,55.00000000000001,7.0015,0,5,5,spring,Clear Cloudy,Workday,Low Usage
71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,0.1818,59.0,7.0015,0,2,2,spring,Clear Cloudy,Workday,Low Usage
72,2011-01-04,1,0,1,2,0,2,1,1,5.74,0.1515,63.0,8.9981,0,1,1,spring,Clear Cloudy,Workday,Low Usage
73,2011-01-04,1,0,1,4,0,2,1,1,5.74,0.1818,63.0,6.0032,0,2,2,spring,Clear Cloudy,Workday,Low Usage
74,2011-01-04,1,0,1,5,0,2,1,1,4.92,0.1515,68.0,7.0015,0,4,4,spring,Clear Cloudy,Workday,Low Usage
75,2011-01-04,1,0,1,6,0,2,1,1,4.92,0.1515,74.0,7.0015,0,36,36,spring,Clear Cloudy,Workday,Low Usage
76,2011-01-04,1,0,1,7,0,2,1,1,4.92,0.1515,74.0,8.9981,2,92,94,spring,Clear Cloudy,Workday,Medium Usage
77,2011-01-04,1,0,1,8,0,2,1,1,5.74,0.1515,69.0,11.0014,2,177,179,spring,Clear Cloudy,Workday,Medium Usage
78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,0.1515,64.0,15.001299999999999,2,98,100,spring,Clear Cloudy,Workday,Medium Usage
79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,0.1364,69.0,22.0028,5,37,42,spring,Mist Cloudy,Workday,Medium Usage
80,2011-01-04,1,0,1,11,0,2,1,1,9.02,0.2121,51.0,19.999499999999998,7,50,57,spring,Clear Cloudy,Workday,Medium Usage
81,2011-01-04,1,0,1,12,0,2,1,1,9.02,0.2273,51.0,11.0014,12,66,78,spring,Clear Cloudy,Workday,Medium Usage
82,2011-01-04,1,0,1,13,0,2,1,1,9.84,0.2273,56.00000000000001,12.998000000000001,18,79,97,spring,Clear Cloudy,Workday,Medium Usage
83,2011-01-04,1,0,1,14,0,2,1,1,10.66,0.2576,52.0,15.001299999999999,9,54,63,spring,Clear Cloudy,Workday,Medium Usage
84,2011-01-04,1,0,1,15,0,2,1,1,11.48,0.2727,52.0,16.997899999999998,17,48,65,spring,Clear Cloudy,Workday,Medium Usage
85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,0.2879,49.0,16.997899999999998,15,68,83,spring,Clear Cloudy,Workday,Medium Usage
86,2011-01-04,1,0,1,17,0,2,1,1,11.48,0.2727,48.0,15.001299999999999,10,202,212,spring,Clear Cloudy,Workday,Medium Usage
87,2011-01-04,1,0,1,18,0,2,1,1,10.66,0.2576,48.0,12.998000000000001,3,179,182,spring,Clear Cloudy,Workday,Medium Usage
88,2011-01-04,1,0,1,19,0,2,1,1,9.84,0.2576,48.0,7.0015,2,110,112,spring,Clear Cloudy,Workday,Medium Usage
89,2011-01-04,1,0,1,20,0,2,1,1,9.84,0.2576,48.0,7.0015,1,53,54,spring,Clear Cloudy,Workday,Medium Usage
90,2011-01-04,1,0,1,21,0,2,1,1,9.02,0.2727,64.0,0.0,0,48,48,spring,Clear Cloudy,Workday,Medium Usage
91,2011-01-04,1,0,1,22,0,2,1,1,9.02,0.2576,64.0,6.0032,1,34,35,spring,Clear Cloudy,Workday,Low Usage
92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,0.2273,69.0,6.0032,2,9,11,spring,Clear Cloudy,Workday,Low Usage
93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,0.2576,64.0,0.0,0,6,6,spring,Clear Cloudy,Workday,Low Usage
94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,0.197,74.0,6.0032,0,6,6,spring,Clear Cloudy,Workday,Low Usage
95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,0.197,74.0,6.0032,0,2,2,spring,Clear Cloudy,Workday,Low Usage
96,2011-01-05,1,0,1,4,0,3,1,1,9.84,0.2273,48.0,15.001299999999999,0,2,2,spring,Clear Cloudy,Workday,Low Usage
97,2011-01-05,1,0,1,5,0,3,1,1,9.02,0.2273,47.0,11.0014,0,3,3,spring,Clear Cloudy,Workday,Low Usage
98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,0.197,47.0,15.001299999999999,0,33,33,spring,Clear Cloudy,Workday,Low Usage
99,2011-01-05,1,0,1,7,0,3,1,1,7.38,0.1818,43.0,12.998000000000001,1,87,88,spring,Clear Cloudy,Workday,Medium Usage
100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,0.1818,40.0,19.999499999999998,3,192,195,spring,Clear Cloudy,Workday,Medium Usage
101,2011-01-05,1,0,1,9,0,3,1,1,9.02,0.197,37.0,22.0028,6,109,115,spring,Clear Cloudy,Workday,Medium Usage
102,2011-01-05,1,0,1,10,0,3,1,1,9.02,0.197,37.0,22.0028,4,53,57,spring,Clear Cloudy,Workday,Medium Usage
103,2011-01-05,1,0,1,11,0,3,1,1,10.66,0.2273,33.0,22.0028,12,34,46,spring,Clear Cloudy,Workday,Medium Usage
104,2011-01-05,1,0,1,12,0,3,1,1,10.66,0.2273,33.0,22.0028,5,74,79,spring,Clear Cloudy,Workday,Medium Usage
105,2011-01-05,1,0,1,13,0,3,1,1,11.48,0.2576,30.0,19.999499999999998,6,65,71,spring,Clear Cloudy,Workday,Medium Usage
106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,0.2879,28.000000000000004,12.998000000000001,10,52,62,spring,Clear Cloudy,Workday,Medium Usage
107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,0.2879,28.000000000000004,12.998000000000001,7,55,62,spring,Clear Cloudy,Workday,Medium Usage
108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,0.3182,28.000000000000004,6.0032,4,85,89,spring,Clear Cloudy,Workday,Medium Usage
109,2011-01-05,1,0,1,17,0,3,1,1,9.84,0.2273,38.0,12.998000000000001,4,186,190,spring,Clear Cloudy,Workday,Medium Usage
110,2011-01-05,1,0,1,18,0,3,1,1,9.84,0.2424,38.0,8.9981,3,166,169,spring,Clear Cloudy,Workday,Medium Usage
111,2011-01-05,1,0,1,19,0,3,1,1,9.84,0.2576,38.0,7.0015,5,127,132,spring,Clear Cloudy,Workday,Medium Usage
112,2011-01-05,1,0,1,20,0,3,1,1,9.02,0.2273,47.0,11.0014,7,82,89,spring,Clear Cloudy,Workday,Medium Usage
113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,0.197,51.0,12.998000000000001,3,40,43,spring,Clear Cloudy,Workday,Medium Usage
114,2011-01-05,1,0,1,22,0,3,1,1,7.38,0.197,55.00000000000001,8.9981,1,41,42,spring,Clear Cloudy,Workday,Medium Usage
115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,0.2576,47.0,0.0,1,18,19,spring,Clear Cloudy,Workday,Low Usage
116,2011-01-06,1,0,1,0,0,4,1,1,7.38,0.2424,55.00000000000001,0.0,0,11,11,spring,Clear Cloudy,Workday,Low Usage
117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,0.2273,64.0,0.0,0,4,4,spring,Clear Cloudy,Workday,Low Usage
118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,0.2273,64.0,0.0,0,2,2,spring,Clear Cloudy,Workday,Low Usage
119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,0.197,64.0,6.0032,0,1,1,spring,Mist Cloudy,Workday,Low Usage
120,2011-01-06,1,0,1,5,0,4,1,2,5.74,0.1818,69.0,6.0032,0,4,4,spring,Mist Cloudy,Workday,Low Usage
121,2011-01-06,1,0,1,6,0,4,1,2,5.74,0.1667,63.0,7.0015,0,36,36,spring,Mist Cloudy,Workday,Low Usage
122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,0.2273,59.0,0.0,0,95,95,spring,Mist Cloudy,Workday,Medium Usage
123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,0.2273,59.0,0.0,3,216,219,spring,Clear Cloudy,Workday,Medium Usage
124,2011-01-06,1,0,1,9,0,4,1,2,7.38,0.2424,51.0,0.0,6,116,122,spring,Mist Cloudy,Workday,Medium Usage
125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,0.2576,47.0,0.0,3,42,45,spring,Clear Cloudy,Workday,Medium Usage
126,2011-01-06,1,0,1,11,0,4,1,1,9.02,0.2576,44.0,6.0032,2,57,59,spring,Clear Cloudy,Workday,Medium Usage
127,2011-01-06,1,0,1,12,0,4,1,1,10.66,0.2879,35.0,0.0,6,78,84,spring,Clear Cloudy,Workday,Medium Usage
128,2011-01-06,1,0,1,13,0,4,1,1,10.66,0.2727,35.0,7.0015,12,55,67,spring,Clear Cloudy,Workday,Medium Usage
129,2011-01-06,1,0,1,14,0,4,1,1,11.48,0.2727,36.0,11.0014,11,59,70,spring,Clear Cloudy,Workday,Medium Usage
130,2011-01-06,1,0,1,15,0,4,1,1,11.48,0.2727,36.0,0.0,8,54,62,spring,Clear Cloudy,Workday,Medium Usage
131,2011-01-06,1,0,1,16,0,4,1,1,10.66,0.2576,38.0,11.0014,12,74,86,spring,Clear Cloudy,Workday,Medium Usage
132,2011-01-06,1,0,1,17,0,4,1,1,9.02,0.2273,51.0,11.0014,9,163,172,spring,Clear Cloudy,Workday,Medium Usage
133,2011-01-06,1,0,1,18,0,4,1,1,9.02,0.2273,51.0,8.9981,5,158,163,spring,Clear Cloudy,Workday,Medium Usage
134,2011-01-06,1,0,1,19,0,4,1,1,9.02,0.2576,55.00000000000001,6.0032,3,109,112,spring,Clear Cloudy,Workday,Medium Usage
135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,0.2121,51.0,11.0014,3,66,69,spring,Clear Cloudy,Workday,Medium Usage
136,2011-01-06,1,0,1,21,0,4,1,2,9.02,0.2121,55.00000000000001,15.001299999999999,0,48,48,spring,Mist Cloudy,Workday,Medium Usage
137,2011-01-06,1,0,1,22,0,4,1,2,9.02,0.2121,51.0,19.0012,1,51,52,spring,Mist Cloudy,Workday,Medium Usage
138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,0.197,59.0,12.998000000000001,4,19,23,spring,Mist Cloudy,Workday,Low Usage
139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,0.197,64.0,12.998000000000001,4,13,17,spring,Mist Cloudy,Workday,Low Usage
140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,0.197,69.0,15.001299999999999,2,5,7,spring,Mist Cloudy,Workday,Low Usage
141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,0.197,69.0,15.001299999999999,0,1,1,spring,Mist Cloudy,Workday,Low Usage
142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,0.2121,69.0,8.9981,0,1,1,spring,Mist Cloudy,Workday,Low Usage
143,2011-01-07,1,0,1,5,0,5,1,3,9.02,0.2727,55.00000000000001,0.0,0,5,5,spring,Light Rain/Snow,Workday,Low Usage
144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,0.2576,69.0,0.0,8,26,34,spring,Mist Cloudy,Workday,Low Usage
145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,0.2121,69.0,8.9981,8,76,84,spring,Clear Cloudy,Workday,Medium Usage
146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,0.197,51.0,16.997899999999998,20,190,210,spring,Clear Cloudy,Workday,Medium Usage
147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,0.1818,47.0,19.999499999999998,9,125,134,spring,Clear Cloudy,Workday,Medium Usage
148,2011-01-07,1,0,1,10,0,5,1,1,9.02,0.197,37.0,22.0028,16,47,63,spring,Clear Cloudy,Workday,Medium Usage
149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,0.197,40.0,15.001299999999999,19,48,67,spring,Mist Cloudy,Workday,Medium Usage
150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,0.197,37.0,16.997899999999998,9,50,59,spring,Mist Cloudy,Workday,Medium Usage
151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,0.1818,37.0,19.0012,9,64,73,spring,Mist Cloudy,Workday,Medium Usage
152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,0.197,40.0,16.997899999999998,7,43,50,spring,Mist Cloudy,Workday,Medium Usage
153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,0.2121,37.0,11.0014,9,63,72,spring,Mist Cloudy,Workday,Medium Usage
154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,0.2121,37.0,11.0014,5,82,87,spring,Mist Cloudy,Workday,Medium Usage
155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,0.2576,37.0,0.0,9,178,187,spring,Mist Cloudy,Workday,Medium Usage
156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,0.2273,40.0,6.0032,7,116,123,spring,Clear Cloudy,Workday,Medium Usage
157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,0.197,55.00000000000001,6.0032,3,92,95,spring,Clear Cloudy,Workday,Medium Usage
158,2011-01-07,1,0,1,20,0,5,1,1,7.38,0.2121,47.0,7.0015,1,50,51,spring,Clear Cloudy,Workday,Medium Usage
159,2011-01-07,1,0,1,21,0,5,1,1,7.38,0.197,47.0,8.9981,0,39,39,spring,Clear Cloudy,Workday,Low Usage
160,2011-01-07,1,0,1,22,0,5,1,2,7.38,0.197,43.0,11.0014,2,34,36,spring,Mist Cloudy,Workday,Low Usage
161,2011-01-07,1,0,1,23,0,5,1,2,7.38,0.197,51.0,11.0014,1,14,15,spring,Mist Cloudy,Workday,Low Usage
162,2011-01-08,1,0,1,0,0,6,0,2,7.38,0.197,51.0,11.0014,1,24,25,spring,Mist Cloudy,Weekend,Low Usage
163,2011-01-08,1,0,1,1,0,6,0,2,7.38,0.2121,55.00000000000001,6.0032,1,15,16,spring,Mist Cloudy,Weekend,Low Usage
164,2011-01-08,1,0,1,2,0,6,0,2,7.38,0.2424,55.00000000000001,0.0,3,13,16,spring,Mist Cloudy,Weekend,Low Usage
165,2011-01-08,1,0,1,3,0,6,0,3,7.38,0.197,55.00000000000001,11.0014,0,7,7,spring,Light Rain/Snow,Weekend,Low Usage
166,2011-01-08,1,0,1,4,0,6,0,3,7.38,0.197,55.00000000000001,11.0014,0,1,1,spring,Light Rain/Snow,Weekend,Low Usage
167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,0.1667,74.0,11.0014,0,5,5,spring,Mist Cloudy,Weekend,Low Usage
168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,0.1667,74.0,11.0014,0,2,2,spring,Mist Cloudy,Weekend,Low Usage
169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,0.1818,74.0,7.0015,1,8,9,spring,Mist Cloudy,Weekend,Low Usage
170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,0.1818,93.0,7.0015,0,15,15,spring,Light Rain/Snow,Weekend,Low Usage
171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,0.1818,93.0,7.0015,0,20,20,spring,Light Rain/Snow,Weekend,Low Usage
172,2011-01-08,1,0,1,10,0,6,0,2,7.38,0.197,80.0,11.0014,5,56,61,spring,Mist Cloudy,Weekend,Medium Usage
173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,0.1818,69.0,26.0027,2,60,62,spring,Mist Cloudy,Weekend,Medium Usage
174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,0.1818,59.0,23.9994,8,90,98,spring,Mist Cloudy,Weekend,Medium Usage
175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,0.1818,44.0,22.0028,7,95,102,spring,Clear Cloudy,Weekend,Medium Usage
176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,0.1667,32.0,32.9975,12,83,95,spring,Clear Cloudy,Weekend,Medium Usage
177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,0.1667,32.0,30.002599999999997,5,69,74,spring,Clear Cloudy,Weekend,Medium Usage
178,2011-01-08,1,0,1,16,0,6,0,1,7.38,0.1364,28.999999999999996,30.002599999999997,8,68,76,spring,Clear Cloudy,Weekend,Medium Usage
179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,0.1212,37.0,36.9974,5,64,69,spring,Clear Cloudy,Weekend,Medium Usage
180,2011-01-08,1,0,1,18,0,6,0,1,5.74,0.1212,39.0,19.999499999999998,3,52,55,spring,Clear Cloudy,Weekend,Medium Usage
181,2011-01-08,1,0,1,19,0,6,0,1,5.74,0.1212,36.0,16.997899999999998,4,26,30,spring,Clear Cloudy,Weekend,Low Usage
182,2011-01-08,1,0,1,20,0,6,0,1,4.92,0.1212,36.0,16.997899999999998,0,28,28,spring,Clear Cloudy,Weekend,Low Usage
183,2011-01-08,1,0,1,21,0,6,0,1,4.92,0.1061,39.0,23.9994,2,35,37,spring,Clear Cloudy,Weekend,Low Usage
